clf,dataset_name,dataset_type,auc,distances
RISF,IMDB-BINARY,graph,0.45,Ips_Jac_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.3125,Ips_Jac_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.4017,Ips_Jac_Oni_Net_Net
RISF,IMDB-BINARY,graph,0.3908,Ips_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.32,Ips_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.335,Ips_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.4117,Ips_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.3558,Ips_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.4442,Ips_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.5517,Ips_Jac_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2317,Ips_Jac_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3983,Ips_Jac_Oni_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.4775,Ips_Jac_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.2533,Ips_Jac_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.3192,Ips_Jac_Oni_Deg_Net
RISF,IMDB-BINARY,graph,0.4533,Ips_Jac_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.3067,Ips_Jac_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.2875,Ips_Jac_Oni_Deg_euc
RISF,IMDB-BINARY,graph,0.4425,Ips_Jac_Oni_Deg
RISF,IMDB-BINARY,graph,0.2942,Ips_Jac_Oni_Deg
RISF,IMDB-BINARY,graph,0.4292,Ips_Jac_Oni_Deg
RISF,IMDB-BINARY,graph,0.5033,Ips_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.2508,Ips_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.325,Ips_Jac_Oni_Net_euc
RISF,IMDB-BINARY,graph,0.3983,Ips_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.3492,Ips_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.3583,Ips_Jac_Oni_Net
RISF,IMDB-BINARY,graph,0.4967,Ips_Jac_Oni_euc
RISF,IMDB-BINARY,graph,0.3283,Ips_Jac_Oni_euc
RISF,IMDB-BINARY,graph,0.2975,Ips_Jac_Oni_euc
RISF,IMDB-BINARY,graph,0.51,Ips_Jac_Oni
RISF,IMDB-BINARY,graph,0.3383,Ips_Jac_Oni
RISF,IMDB-BINARY,graph,0.3592,Ips_Jac_Oni
RISF,IMDB-BINARY,graph,0.4442,Ips_Jac_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.2967,Ips_Jac_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.3967,Ips_Jac_Net_Deg_Net_euc
RISF,IMDB-BINARY,graph,0.5017,Ips_Jac_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.2858,Ips_Jac_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.3492,Ips_Jac_Net_Deg_Net
RISF,IMDB-BINARY,graph,0.4842,Ips_Jac_Net_Deg_euc
