clf,dataset_name,dataset_type,auc,n_estimators
IForest,6_cardio,numerical,0.7138,1
IForest,6_cardio,numerical,0.4574,1
IForest,6_cardio,numerical,0.5848,1
IForest,6_cardio,numerical,0.786,1
IForest,6_cardio,numerical,0.7596,1
IForest,6_cardio,numerical,0.92,5
IForest,6_cardio,numerical,0.7992,5
IForest,6_cardio,numerical,0.8289,5
IForest,6_cardio,numerical,0.856,5
IForest,6_cardio,numerical,0.8104,5
IForest,6_cardio,numerical,0.9096,10
IForest,6_cardio,numerical,0.8163,10
IForest,6_cardio,numerical,0.8253,10
IForest,6_cardio,numerical,0.8809,10
IForest,6_cardio,numerical,0.8158,10
IForest,6_cardio,numerical,0.9432,25
IForest,6_cardio,numerical,0.8996,25
IForest,6_cardio,numerical,0.8919,25
IForest,6_cardio,numerical,0.9269,25
IForest,6_cardio,numerical,0.906,25
IForest,6_cardio,numerical,0.9398,50
IForest,6_cardio,numerical,0.9097,50
IForest,6_cardio,numerical,0.8978,50
IForest,6_cardio,numerical,0.9262,50
IForest,6_cardio,numerical,0.9282,50
IForest,6_cardio,numerical,0.9495,100
IForest,6_cardio,numerical,0.9259,100
IForest,6_cardio,numerical,0.903,100
IForest,6_cardio,numerical,0.9279,100
IForest,6_cardio,numerical,0.9279,100
IForest,6_cardio,numerical,0.9525,200
IForest,6_cardio,numerical,0.9387,200
IForest,6_cardio,numerical,0.91,200
IForest,6_cardio,numerical,0.925,200
IForest,6_cardio,numerical,0.9393,200
IForest,6_cardio,numerical,0.9548,300
IForest,6_cardio,numerical,0.9366,300
IForest,6_cardio,numerical,0.9165,300
IForest,6_cardio,numerical,0.9341,300
IForest,6_cardio,numerical,0.9393,300
IForest,26_optdigits,numerical,0.3207,1
IForest,26_optdigits,numerical,0.4825,1
IForest,26_optdigits,numerical,0.44,1
IForest,26_optdigits,numerical,0.2549,1
IForest,26_optdigits,numerical,0.3112,1
IForest,26_optdigits,numerical,0.5862,5
IForest,26_optdigits,numerical,0.397,5
IForest,26_optdigits,numerical,0.6593,5
IForest,26_optdigits,numerical,0.6182,5
IForest,26_optdigits,numerical,0.3945,5
IForest,26_optdigits,numerical,0.5889,10
IForest,26_optdigits,numerical,0.5134,10
IForest,26_optdigits,numerical,0.6633,10
IForest,26_optdigits,numerical,0.7073,10
IForest,26_optdigits,numerical,0.5524,10
IForest,26_optdigits,numerical,0.7058,25
IForest,26_optdigits,numerical,0.6565,25
IForest,26_optdigits,numerical,0.7419,25
IForest,26_optdigits,numerical,0.7117,25
IForest,26_optdigits,numerical,0.7024,25
IForest,26_optdigits,numerical,0.6342,50
IForest,26_optdigits,numerical,0.6635,50
IForest,26_optdigits,numerical,0.7817,50
IForest,26_optdigits,numerical,0.7437,50
IForest,26_optdigits,numerical,0.7356,50
IForest,26_optdigits,numerical,0.6491,100
IForest,26_optdigits,numerical,0.6776,100
IForest,26_optdigits,numerical,0.7325,100
IForest,26_optdigits,numerical,0.7455,100
IForest,26_optdigits,numerical,0.7101,100
IForest,26_optdigits,numerical,0.6995,200
IForest,26_optdigits,numerical,0.665,200
IForest,26_optdigits,numerical,0.761,200
IForest,26_optdigits,numerical,0.7791,200
IForest,26_optdigits,numerical,0.7553,200
IForest,26_optdigits,numerical,0.7106,300
IForest,26_optdigits,numerical,0.7012,300
IForest,26_optdigits,numerical,0.7535,300
IForest,26_optdigits,numerical,0.776,300
IForest,26_optdigits,numerical,0.761,300
IForest,COX2,graph,0.5045,1
IForest,COX2,graph,0.4818,1
IForest,COX2,graph,0.7818,1
IForest,COX2,graph,0.5873,1
IForest,COX2,graph,0.7836,1
IForest,COX2,graph,0.7545,5
IForest,COX2,graph,0.5355,5
IForest,COX2,graph,0.7664,5
IForest,COX2,graph,0.5745,5
IForest,COX2,graph,0.6736,5
IForest,COX2,graph,0.7255,10
IForest,COX2,graph,0.5,10
IForest,COX2,graph,0.7373,10
IForest,COX2,graph,0.5682,10
IForest,COX2,graph,0.6845,10
IForest,COX2,graph,0.6455,25
IForest,COX2,graph,0.4882,25
IForest,COX2,graph,0.7245,25
IForest,COX2,graph,0.5391,25
IForest,COX2,graph,0.6491,25
IForest,COX2,graph,0.6673,50
IForest,COX2,graph,0.4791,50
IForest,COX2,graph,0.7009,50
IForest,COX2,graph,0.5355,50
IForest,COX2,graph,0.6473,50
IForest,COX2,graph,0.6436,100
IForest,COX2,graph,0.4773,100
IForest,COX2,graph,0.7173,100
IForest,COX2,graph,0.5264,100
IForest,COX2,graph,0.6655,100
IForest,COX2,graph,0.6564,200
IForest,COX2,graph,0.4973,200
IForest,COX2,graph,0.7464,200
IForest,COX2,graph,0.5682,200
IForest,COX2,graph,0.6618,200
IForest,COX2,graph,0.6782,300
IForest,COX2,graph,0.5045,300
IForest,COX2,graph,0.7391,300
IForest,COX2,graph,0.5791,300
IForest,COX2,graph,0.6618,300
IForest,BZR,graph,0.4573,1
IForest,BZR,graph,0.5573,1
IForest,BZR,graph,0.5562,1
IForest,BZR,graph,0.6,1
IForest,BZR,graph,0.3083,1
IForest,BZR,graph,0.6583,5
IForest,BZR,graph,0.6115,5
IForest,BZR,graph,0.3979,5
IForest,BZR,graph,0.6646,5
IForest,BZR,graph,0.4375,5
IForest,BZR,graph,0.5917,10
IForest,BZR,graph,0.5229,10
IForest,BZR,graph,0.3708,10
IForest,BZR,graph,0.4604,10
IForest,BZR,graph,0.3469,10
IForest,BZR,graph,0.6312,25
IForest,BZR,graph,0.5521,25
IForest,BZR,graph,0.3875,25
IForest,BZR,graph,0.5979,25
IForest,BZR,graph,0.3594,25
IForest,BZR,graph,0.6167,50
IForest,BZR,graph,0.6042,50
IForest,BZR,graph,0.4562,50
IForest,BZR,graph,0.6396,50
IForest,BZR,graph,0.4031,50
IForest,BZR,graph,0.6167,100
IForest,BZR,graph,0.6188,100
IForest,BZR,graph,0.4875,100
IForest,BZR,graph,0.625,100
IForest,BZR,graph,0.4198,100
IForest,BZR,graph,0.6458,200
IForest,BZR,graph,0.6167,200
IForest,BZR,graph,0.5375,200
IForest,BZR,graph,0.6375,200
